name,latitude,longitude
Jollibee,14.6007231,120.98439648
LolaNenasPichiPichi,14.60594795,120.9885574
TokyoTokyo,14.6014757,120.9926647
MangInasal,14.6007871,120.9844008
Chowking,14.5994997,120.98417191111112
AngelsPizza,14.599262918622557,120.9900343411054
McDonalds,14.603099019999998,120.9840948
BoodleInasalxHappyThirstday,14.6071574,120.9876869
24Chicken,14.599993593888414,120.9906229630875
Andoks,14.5990063,120.9814594
ThreeJlugawan,14.6043552,120.993168
AlJograts,14.6123178,120.9880759076923
PepperLunchExpress,14.6029055,120.9738317
KennyRogersRoasters,14.590071329999999,120.9836955
Popeyes,14.5900564,120.983188625
PepperLunchExpressPlus,14.5900253,120.9824932
CautionBistro,14.614305,120.990737
Subway,14.610537908571429,120.9902518
TastyDumplings,14.600781147071501,120.97484072883657
BurgerKing,14.57911289,120.978061
HappileeKoreanKitchen,14.6143448,120.9925752
WaiYingFastfood,14.602068853150598,120.97598854230432
BuffalosWingsNThings,14.590007714285713,120.9834563
KanzenSushiRoll,14.6097302,120.9866011
ArmyNavyBurgerBurrito,14.6115019,120.9880575
YellowCabPizza,14.6094796,120.992802
RedRibbon,14.6030444,120.9841955
FoodHousebyMadla,14.60785545410086,120.99240166666665
SRNewYorkStylePizza,14.5901269,120.98368076666667
Gotobox,14.5822654,120.9841845
BaliwagLechonManok,14.61482425,120.9896263
SincerityCafeRestaurant,14.599068014727354,120.975219818386
MisterKabab,14.6143335,120.9925847
PizzaHut,14.6022463,120.98692623157895
DavidsTeaHouse,14.60081561,120.9792872
BigAlsCookieJar,14.6143335,120.9925847
ClassicSavory,14.590010225,120.98377966666668
TimHortons,14.599783433333334,120.9915111
Paotsin,14.60665571,120.9726245
TheAristocratRestaurant,14.59033764,120.9837502
HongKongNoodlesDimsumHouse,14.59921805,120.9841343
PhoHoaVietnameseNoodleHouse,14.6034077,120.9734002
PancitNgTagaMalabon,14.5975467,120.9837582
BlackScoopCafe,14.6000499,120.9906598
AlingBanang,14.6012619,121.0021819
ChuanKeeTuroTuro,14.60044895128205,120.9755047
IceCreamScooper,14.6117269,120.9953462
RedTable,14.590044222222222,120.9827167
ProJuice,14.613154,120.990576
LuckyHouseRestaurant,14.60838526108968,120.99385625011325
Boulangerie22,14.6115292,120.988101
KingChef,14.6032502,120.9733011475
KuyaJRestaurant,14.590063,120.9834672
MaxsRestaurant,14.590069533333333,120.9837077
PapaJohnsPizza,14.6089159,120.9942711
TastesfromtheGreens,14.612146549999999,120.9883315
ShakeysPizza,14.5898002,120.9838989
SelectaIceCreamShop,14.61014666,120.9850458
KrispyKreme,14.5898136,120.9839737
Koomi,14.589628916666667,120.983615
Omakase,14.6143353,120.9925847
SausageSupreme,14.6008,120.9911157
NoodlesEveryday,14.6029924,120.9738109
BigScoop,14.6117504,120.9848649
SupremeWings,14.6007482,120.9912594
BosCoffee,14.6062743,120.9890109
EverythingButCheese,14.59004388888889,120.98259453333334
LandersCentral,14.5901826,120.9991979
Goldilocks,14.5994472,120.9812578
Chatime,14.603564400000002,120.97345954000001
InasalChickenBacolod,14.590013033333333,120.983518275
TropicalHutHamburger,14.597299399999999,120.9780227
BulalugawExpress,14.6096033,120.9933591
MrUbeRiceandNoodleHaus,14.600840155867786,120.97590531485673
GerrysGrillRestaurantBar,14.5900457,120.9826271
Hightea,14.59737887,120.995344
CalorieClub,14.611589261386001,120.987806
TigerWinx,14.612757749547498,120.987815849583
DCreamCoffeeTea,14.607065144444444,120.9890435
ShiLin,14.6035728,120.9736994
CarolsChickenandLechonBelly,14.60679,120.97779
CafePerene,14.6070714,120.9783826
TinapayanFestivalBakeshoppe,14.614121145180505,120.99100072883544
MangSamgyupsal,14.61208658,120.98875808791666
LechonHaus,14.5900717,120.9837016
TheGreatBuddhaCafe,14.600144125,120.9751577
DosirakuyaKoreanStreetFood,14.61037,120.974201
SioCha,14.6089106,120.9790354
DairyQueen,14.589585508791208,120.9836556
RarjapSushiHouse,14.6122898,120.9881811
ScorchedSmokehouse,14.590160382858116,120.98297833862375
Turks,14.5981151,120.98410679999999
Chachago,14.608712000000002,120.97882803333333
Banapple,14.6068854,120.9723162
GrubKingEnterprise,14.5968285,120.995275
Greenwich,14.5989135,120.9817615
PancakeHouse,14.602856195652175,120.97327414761905
PresidentGrandPalaceResturant,14.601248470666576,120.9763685423294
MAFSDelivery,14.60169945,120.9951903
ChaTukChak,14.606833200000002,120.97770568
KoreanToGo,14.611589261386001,120.987806
